title,registration_number,registration_date,language,periodicity,publisher,owner,publication_state,publication_district
AMRAVATI DE DANKA,MHMAR/26/A0650,2026-01-22,Marathi,Weekly,JAGDISH MAHADEVRAO GOWARDHAN,JAGDISH MAHADEVRAO GOWARDHAN,Maharashtra,Amravati
AMRAVATI EVENING,24219,1974-11-09,Marathi,Daily,MADHU ANIL BANG,MADHU ANIL BANG,Maharashtra,Amravati
AMRAVATI GATI,MAHBIL/2019/90789,2025-06-02,"Marathi, Hindi",Weekly,ABDUL RAFIK ABDUL RAZZAK,ABDUL RAFIK ABDUL RAZZAK,Maharashtra,Amravati
AMRAVATI HALCHAL,MAHBIL/2004/18028,2006-12-29,"Marathi, Hindi",Weekly,MUKHTAR AHMAD ABDUL GAFFAR,MUKHTAR AHMAD ABDUL GAFFAR,Maharashtra,Amravati
AMRAVATI JANWARTA,MAHMAR/2019/77588,2019-06-20,Marathi,Weekly,NAGESH RAMKRUSHNA UMBARKAR,NAGESH RAMKRUSHNA UMBARKAR,Maharashtra,Amravati
AMRAVATI KA UDAY,MAHHIN/2018/76062,2018-09-18,Hindi,Weekly,ABDUL WASIM ABDUL SALIM,ABDUL WASIM ABDUL SALIM,Maharashtra,Amravati
AMRAVATI KHABAR,MAHHIN/2010/36737,2011-04-15,Hindi,Daily,HARISH RAMRAKHYOMAL UDHWANI,HARISH RAMRAKHYOMAL UDHWANI,Maharashtra,Amravati
AMRAVATI KHULASA,MAHMAR/2016/70907,2017-04-26,Marathi,Weekly,LALIT PRAFFULSINGH CHAVHAN,LALIT PRAFFUL SINGH CHAVHAN,Maharashtra,Amravati
AMRAVATI KI AWAZ,TELURD/2017/72736,2017-07-26,Urdu,Daily,FAZALULLA KHAN,FAZALULLA KHAN,Telangana,Hyderabad
AMRAVATI KI KHABAR,MAHHIN/2014/56482,2014-08-09,Hindi,Weekly,HARISH RAMRAKHYOMAL UDHWANI,HARISH RAMRAKHYOMAL UDHWANI,Maharashtra,Amravati
AMRAVATI MAIL,59907,1995-03-13,Marathi,Daily,MOHAN V KALOTI,MOHAN V KALOTI,Maharashtra,Amravati
AMRAVATI MANDAL,MAHHIN/2005/25277,2008-08-14,Hindi,Daily,ANIL JUGALKISHOR AGRAWAL,ANIL JUGALKISHOR AGRAWAL,Maharashtra,Yavatmal
AMRAVATI MANDAL,MAHHIN/2003/25229,2008-08-14,Hindi,Daily,ANIL JUGALKISHOR AGRAWAL,ANIL JUGALKISHOR AGRAWAL,Maharashtra,Akola
AMRAVATI MANDAL,59872,2010-12-16,Hindi,Daily,ANIL JUGALKISHOR AGRAWAL,ANIL JUGALKISHOR AGRAWAL,Maharashtra,Amravati
AMRAVATI MIRROR,MHMAR/26/A4156,2026-05-22,Marathi,Daily,Mangesh Shankarrao Tayade,Mangesh Shankarrao Tayade,Maharashtra,Amravati
AMRAVATI MIRROR,MAHHIN/2017/71377,2017-04-28,Hindi,Weekly,MANGESH SHANKARRAO TAYADE,MANGESH SHANKARRAO TAYADE,Maharashtra,Amravati
AMRAVATI NAYA BHARAT,MAHBIL/2010/38054,2011-06-28,"Marathi, Hindi",Weekly,ASHOK SHALIGRAMJI MUNDHADA,ASHOK SHALIGRAMJI MUNDHADA,Maharashtra,Amravati
AMRAVATI NAYAK,MAHBIL/2021/79673,2021-04-01,"Marathi, Hindi",Weekly,RAJENDRA BABARAO FUKE,RAJENDRA BABARAO FUKE,Maharashtra,Amravati
AMRAVATI POST,MAHMAR/2014/58900,2014-12-12,Marathi,Weekly,SATISH SARANGDHAR HARNE,SATISH SARANGDHAR HARNE,Maharashtra,Amravati
AMRAVATI PRABHAT,MAHHIN/2012/45835,2012-10-19,Hindi,Daily,RASHAD ALI SHAUKAT ALI,RASHAD ALI SHAUKAT ALI,Maharashtra,Amravati
AMRAVATI PRATIBHA,MAHBIL/2017/72656,2017-07-26,BILINGUAL,Weekly,REKHA AJAY JOSHI,REKHA AJAY JOSHI DAYMA,Maharashtra,Amravati
AMRAVATI RANGMANCH,MHMAR/25/A2144,2025-08-08,Marathi,Weekly,ANIKET BHAURAO DAHATONDE,ANIKET BHAURAO DAHATONDE,Maharashtra,Amravati
AMRAVATI SACH,MAHBIL/2010/33752,2014-06-06,"Marathi, Hindi",Weekly,SHABANA SHAHIN SAYYAD ZAKIR,SHABANA SHAHIN SAYYAD ZAKIR,Maharashtra,Amravati
AMRAVATI SAKAL,66845,1997-08-10,"Marathi, Hindi",Weekly,WASUDEORAO NAMDEORAO DADAKE,WASUDEORAO NAMDEORAO DADAKE,Maharashtra,Amravati
AMRAVATI SANGRAM,MAHHIN/2013/49636,2013-05-13,Hindi,Weekly,AHMED SHAIKH NOOR,AHMED SHAIKH NOOR,Maharashtra,Amravati
AMRAVATI SANKALP,MAHMAR/2016/67159,2016-06-03,Marathi,Weekly,KUNAL SUNILRAO JADHAV,KUNAL SUNILRAO JADHAV,Maharashtra,Amravati
AMRAVATI SAVERA,MAHHIN/2012/42891,2012-06-13,Hindi,Daily,SAYYAD ZAKIR SAYYAD KHAIRUDDIN,SAYYAD ZAKIR SAYYAD KHAIRUDDIN,Maharashtra,Amravati
AMRAVATI SHOURYA,MAHMAR/2018/76496,2018-12-06,Marathi,Weekly,VIJAYA SANDEEP FUKATE,VIJAYA SANDEEP FUKATE,Maharashtra,Amravati
AMRAVATI TODAY,MAHHIN/2017/73955,2017-11-23,Hindi,Weekly,SYED ZAHED SYED ZAHIRULHASAN,SYED ZAHED SYED ZAHIRULHASAN,Maharashtra,Amravati
AMRAVATI VARTHA,APTEL/2015/65024,2015-12-01,Telugu,Monthly,PANDRAVADA NAGESWARA RAO,PANDRAVADA NAGESWARA RAO,Andhra Pradesh,Visakhapatnam
AMRAVATI VIJETA,MAHMAR/2008/25549,2014-04-21,Marathi,Weekly,TRIMBAK MADHAVRAO KAREGAONKAR,TRIMBAK MADHAVRAO KAREGAONKAR,Maharashtra,Amravati
AMRAVATI VRUTT,46998,1988-08-23,Marathi,Weekly,SAU JAYASHRI VIDYANAND RABADE,JAYASHRI VIDYANAND RABADE,Maharashtra,Amravati
AMRAVATI VRUTT DAKHAL,MAHMAR/2016/71498,2017-05-08,Marathi,Weekly,SUMIT RAMDASRAO RELE,SUMIT RAMDASRAO RELE,Maharashtra,Amravati
AMRAWATI MAIL,UTTHIN/2023/86388,2024-02-12,Hindi,Weekly,RAKESH SHARMA,RAKESH SHARMA,Uttarakhand,Dehradun
AMRELI BHASKAR,GUJGUJ/2016/68499,2016-09-05,Gujarati,Daily,JIGNESH KUMAR K. SHAH,D.B. CORP.LTD,Gujarat,Junagadh
AMRELI EXPRESS,GUJGUJ/2001/11803,2004-02-05,Gujarati,Daily,MANOJ H. RUPARLIYA,MANOJ H. EXPRESS,Gujarat,Amreli
AMRELI HERALD,70049,1999-02-22,Gujarati,Weekly,BHARAT KUMAR DEVRAJBHAI CHAUHAN,BHARAT KUMAR DEVRAJBHAI CHAUHAN,Gujarat,Amreli
AMRELI METRO,GUJGUJ/2017/73506,2017-10-16,Gujarati,Weekly,KHER KALPESHBHAI GUNVANTBHAI,KHER KALPESHBHAI GUNVANTBHAI,Gujarat,Amreli
AMRELI NI ASMITA,71762,2012-12-11,Gujarati,Weekly,SMITA NARENDRABHAI MALVI,SMITA NARENDRABHAI MALVI,Gujarat,Amreli
AMRELI NO AVAZ,GUJGUJ/2007/23417,2012-12-05,Gujarati,Weekly,NILESHKUMAR M. JANI,NILESHKUMAR M. JANI,Gujarat,Amreli
AMRELI PADAGHO,63587,1996-05-02,Gujarati,Weekly,MANSI DHARMENDRABHAI TRIVEDI,MANSI DHARMENDRA TRIVEDI,Gujarat,Amreli
AMRELI PLUS,72249,1999-11-29,Gujarati,Weekly,ATUL N. CHAUHAN,ATUL N. CHAUHAN,Gujarat,Amreli
AMRELI PRABHAT,GUJGUJ/2016/70746,2017-03-20,Gujarati,Weekly,VIJAY JORSANGBHAI BARAD,VIJAY JORSANGBHAI BARAD,Gujarat,Amreli
AMRELI-NI-HALCHAL,GUJGUJ/2001/04122,2001-07-10,Gujarati,Weekly,ATULKUMAR JAYANTILAL KARIYA,ATUL KUMAR JAYANTILAL KARIYA,Gujarat,Amreli
AMRESH DARPAN,UPENG/2016/70756,2017-03-20,English,Daily,SHAILENDRA KUMAR MISHRA,SHAILENDRA KUMAR MISHRA,Uttar Pradesh,Bara Banki
AMRESH DARPAN,UPURD/2016/70748,2017-03-20,Urdu,Daily,SHAILENDRA KUMAR MISHRA,SHAILENDRA KUMAR MISHRA,Uttar Pradesh,Bara Banki
AMRESH DARPAN,UPHIN/2012/43240,2012-06-22,Hindi,Daily,SHAILENDRA KUMAR MISHRA,SHAILENDRA KUMAR MISHRA,Uttar Pradesh,Bara Banki
AMRISH SAMACHAR BULATIN,60425,1995-01-02,Hindi,Daily,RAM KUMAR,RAM KUMAR,Uttar Pradesh,Muzaffarnagar
AMRIT,3540,1951-05-02,Hindi,Monthly,NAGENDRA NARAYAN SINHA,BIHAR HARIJAN SEWAK SANGH,Bihar,Patna
AMRIT ABHYUDAY,UPHIN/2014/60950,2015-03-26,Hindi,Weekly,MANJULA DWIVEDI,MANJULA DWIVEDI,Uttar Pradesh,Prayagraj
AMRIT ANAVARAN,MPHIN/2023/87416,2024-06-07,Hindi,Monthly,SHAREEN JAHAN,SHAREEN JANHA,Madhya Pradesh,Bhopal
AMRIT AVALOKAN,MPHIN/26/A5406,2026-06-22,Hindi,Quarterly,Anam shaikh,Anam shaikh,Madhya Pradesh,Bhopal
AMRIT BHARAT,HARHIN/2004/12289,2004-04-21,Hindi,Weekly,USHA BISHT,TEJAS PUBLICATIONS,Haryana,Faridabad
AMRIT BHOOMI,CHHHIN/2023/88225,2024-07-29,HINDI,Daily,RANA SIKANDER SINGH,RANA SIKANDER SINGH,Chhattisgarh,Raipur
AMRIT DARSHAN,MPHIN/2012/43555,2012-06-28,HINDI,Daily,D.P.GOYAL,D.P.GOYAL,Madhya Pradesh,Raisen
AMRIT DARSHAN,50259,1990-05-23,HINDI,Daily,D.P GOYAL,D.P GOYAL,Madhya Pradesh,Bhopal
AMRIT DARSHAN,MPHIN/2004/13927,2005-02-18,Hindi,Daily,DWARKA PRASAD GOYAL,DWARKA PRASAD GOYAL,Madhya Pradesh,Hoshangabad
AMRIT DEEP,RAJHIN/2011/44576,2012-08-08,Hindi,Fortnightly,KAVITA CHAUHAN,KAVITA CHAUHAN,Rajasthan,Bhilwara
AMRIT DHARA,HARHIN/2009/37177,2011-05-13,Hindi,Monthly,NEEL KAMAL,NEEL KAMAL,Haryana,Kaithal
AMRIT DHARA,UTTHIN/2013/61114,2015-04-07,Hindi,Monthly,NEEL KAMAL,NEEL KAMAL,Uttarakhand,Dehradun
AMRIT DHARA,HARHIN/2012/51240,2013-07-31,Hindi,Daily,NEEL KAMAL,NEEL KAMAL,Haryana,Karnal
AMRIT DHARA,DELHIN/2013/52162,2013-09-23,Hindi,Daily,NEEL KAMAL,NEEL KAMAL,Delhi,New Delhi
AMRIT DHARA,UTTHIN/2013/53881,2014-01-06,Hindi,Weekly,NEEL KAMAL,NEEL KAMAL,Uttarakhand,Dehradun
AMRIT DHARA,DELHIN/2012/46658,2012-11-30,Hindi,Monthly,NEELA KAMAL,NEEL KAMAL,Delhi,New Delhi
AMRIT DHARA,HARHIN/2008/28633,2013-06-26,Hindi,Weekly,NEEL KAMAL,NEEL KAMAL,Haryana,Kaithal
AMRIT DHARA,HPHIN/2013/50691,2013-07-09,Hindi,Monthly,NEEL KAMAL,NEEL KAMAL,Himachal Pradesh,Shimla
AMRIT DINKAR,MPHIN/2017/76780,2019-01-25,Hindi,Daily,RAM SHANKAR TIWARI,RAMSHANKAR TIWARI,Madhya Pradesh,Sagar
AMRIT EXPRESS,UPHIN/2009/28032,2009-06-12,Hindi,Weekly,DHIRENDRA KUMAR VERMA,DHIRENDRA KUMAR VERMA,Uttar Pradesh,Lucknow
AMRIT GAGAR,MPHIN/2016/68563,2016-09-06,Hindi,Monthly,RISHABH NAHTA,RISHABH NAHTA,Madhya Pradesh,Bhopal
AMRIT GANGA,UTTHIN/2010/36803,2011-05-27,Hindi,Daily,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Haridwar
AMRIT GANGA,UTTHIN/2011/36370,2011-03-23,Hindi,Weekly,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Nainital
AMRIT GANGA,UTTHIN/2011/39722,2011-11-22,Hindi,Weekly,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Dehradun
AMRIT GANGA,UTTHIN/2005/16025,2006-01-24,Hindi,Weekly,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Haridwar
AMRIT GANGA,UTTHIN/2013/49280,2013-04-18,Hindi,Daily,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Nainital
AMRIT GANGA,UTTHIN/2012/41408,2012-04-04,Hindi,Fortnightly,GURPREET SINGH KALRA,GURPREET SINGH KALRA,Uttarakhand,Nainital
AMRIT GARIMA,62048,2005-12-12,Hindi,Daily,ANITA CHAJJAD,SMT ANITA CHHAJED,Delhi,New Delhi
AMRIT GEETA VAISHNAV BHARAT,UPHIN/25/A3524,2025-10-28,Hindi,Monthly,PAWAN PATHAK,PAWAN PATHAK,Uttar Pradesh,Lucknow
AMRIT INDIA,49267,2013-01-01,Hindi,Daily,AMRIT JAIN,AMRIT JAIN,Delhi,New Delhi
AMRIT INDIA,RAJHIN/2004/12833,2004-06-24,Hindi,Daily,AMRIT JAIN,AMRIT JAIN,Rajasthan,Jaipur
AMRIT INDIA,MPHIN/2006/20046,2007-06-08,Hindi,Daily,AMRIT JAIN,AMRIT JAIN,Madhya Pradesh,Gwalior
AMRIT KAAL,UPHIN/2023/87278,2024-05-14,Hindi,Daily,AJAY MISHRA,AJAY MISHRA,Uttar Pradesh,Prayagraj
AMRIT KALASH,MAHMAR/2002/09387,2003-03-20,Marathi,Daily,ASWAD AJIT MHATRE,ASWAD AJIT MHATRE,Maharashtra,Thane
AMRIT KALASH,MAHMAR/2012/44170,2012-07-20,Marathi,Daily,ASWAD AJIT MHATRE,ASWAD AJIT MHATRE,Maharashtra,Mumbai
AMRIT KALASH,MPHIN/1999/00587,2000-03-15,Hindi,Daily,HEMRAJ SAHU,HEMRAJ SHAHU,Madhya Pradesh,Bhopal
AMRIT KALASH TIMES,UPHIN/2007/22706,2008-01-24,Hindi,Daily,SIDDHNATH DWIVEDI,SIDDHNATH DWIVEDI,Uttar Pradesh,Prayagraj
AMRIT KESARI,50138,1987-12-28,Hindi,Weekly,R.P. TRIPATHI,R.P. TRIPATHI,Madhya Pradesh,Bhopal
AMRIT KIRTAN,46788,1990-01-30,English,Monthly,JAGIR SINGH,AMRIT KIRTAN TRUST,Chandigarh,Chandigarh
AMRIT KUMBH,MAHMAR/2007/21914,2007-11-26,Marathi,Bimonthly (Once in two months),B. K. GODAVARI,PRAJAPITA BRAHMAKUMARIS ISHWARIYA VISHWA VIDYALAYA,Maharashtra,Thane
AMRIT KUMBH SHUBHPRABHAT,MPHIN/2009/36070,2011-03-10,HINDI,Daily,ANANT PATWA,ANANT PATWA,Madhya Pradesh,Neemuch
AMRIT LOK,MPHIN/26/A3636,2026-05-13,Hindi,Daily,Shailendra Kulmi,Shailendra Kulmi,Madhya Pradesh,Ujjain
AMRIT MANTHAN,GUJHIN/2000/02812,2001-01-29,Hindi,Weekly,R.R. SHUKLA,RAMESHCHANDRA R.SHUK,Gujarat,Ahmedabad
AMRIT MASHAL,MPHIN/2023/84951,2023-06-09,Hindi,Monthly,ADIL SHEIKH,ADIL SHEIKH,Madhya Pradesh,Bhopal
AMRIT NIDHI,67997,1998-03-31,Hindi,Monthly,DR. MOHAN MURARI GUPTA,DR. MOHAN MURARI GUPTA,Madhya Pradesh,Bhopal
AMRIT PRABAH,ASSASS/2014/64471,2015-10-27,Assamese,Weekly,HIREN CHANDRA KALITA,HIREN CHANDRA KALITA,Assam,Kamrup Metropolitan
AMRIT PRABHA,WBBEN/2023/87557,2024-06-19,BENGALI,Fortnightly,JAGDISH YADAV,ABHAY NEWS & BROADCASTING PRIVATE LIMITED,West Bengal,South 24 Parganas
AMRIT PRABHAT,29321,1977-12-07,Hindi,Daily,PRAKASH KUMAR GHOSH,ALLAHABAD PATRIKA (P) LTD.,Uttar Pradesh,Prayagraj
AMRIT PRAKASH,UTTPUN/2015/65220,2015-12-11,Punjabi,Daily,DEEPAK SABHARWAL,DEEPAK SABHARWAL,Uttarakhand,Dehradun
AMRIT PRAKASH,DELPUN/2013/51370,2013-08-12,Punjabi,Daily,DEEPAK SABHARWAL,DEEPAK SABHARWAL,Delhi,New Delhi
AMRIT PRASARAN,JKHIN/25/A2922,2025-09-30,Hindi,Daily,Gurpreet Kour,Gurpreet Kour,Jammu and Kashmir,Poonch
AMRIT PRAVAH,UPHIN/26/A3559,2026-05-13,Hindi,Monthly,SANJEEV KUMAR PAHWA,SANJEEV KUMAR PAHWA,Uttar Pradesh,Lucknow
AMRIT PRAVAH,43319,1986-12-11,Hindi,Weekly,SANJIV KUMAR,SANJIV KUMAR,Uttar Pradesh,Lakhimpur Kheri
AMRIT RAJASTHAN,58004,1996-05-30,Hindi,Weekly,PANNA LAL SHARMA,PANNALAL SHARMA,Rajasthan,Jaipur
AMRIT SADAN,UPHIN/26/A2182,2026-04-02,Hindi,Daily,Abhishek Singh,Abhishek Singh,Uttar Pradesh,Lucknow
AMRIT SAGAR,ANDENG/2009/28184,2009-07-02,English,Monthly,A.K. DUTTA,A.K. DUTTA,Andaman & Nicobar Islands,South Andaman
AMRIT SAMACHAR,MPHIN/2006/19053,2007-04-11,Hindi,Monthly,YOGESH GOYAL,YOGESH GOYAL,Madhya Pradesh,Bhopal
AMRIT SANDESH,CHHHIN/2000/02780,2001-01-19,Hindi,Daily,GIRISH KUMAR VORA,PRAGATI PRAKASHAN PRIVATE LIMITED,Chhattisgarh,Bilaspur
AMRIT SANDESH,38509,1984-08-06,Hindi,Daily,GIRISH KUMAR VORA,PRAGATI PRAKASHAN PVT LTD,Chhattisgarh,Raipur
AMRIT SANSAR,MPHIN/2015/65749,2016-01-22,Hindi,Weekly,GAURI GYANCHANDANI,GAURI GYANCHANDANI,Madhya Pradesh,Bhopal
AMRIT SANVAD,UPHIN/2021/84136,2023-05-08,Hindi,Daily,Shiva Awasthi,Shiva Awasthi,Uttar Pradesh,Prayagraj
AMRIT SANVAD,UPHIN/2016/71956,2017-05-23,Hindi,Daily,Shiva Awasthi,Shiva Awasthi,Uttar Pradesh,Lucknow
AMRIT SAROVAR,CHHHIN/2006/21141,2007-09-21,Hindi,Fortnightly,VISHNU PRASAD MISHRA,VISHNU PRASAD MISHRA,Chhattisgarh,Rajnandgaon
AMRIT SATTA,51062,1990-05-22,Hindi,Weekly,,,,
AMRIT SAVERA,UPHIN/2019/78452,2020-02-10,Hindi,Daily,RAJESH KUMAR,RAJESH KUMAR,Uttar Pradesh,Hardoi
AMRIT SAVERA,UPHIN/2022/83041,2023-01-11,Hindi,Daily,RAJESH KUMAR,RAJESH KUMAR,Uttar Pradesh,Lucknow
AMRIT SHIVA,RAJHIN/2009/31413,2010-03-17,Hindi,Monthly,DEVENDRA MAKKAD,DEVENDRA MAKKAD,Rajasthan,Jaipur
AMRIT SIDDHI,MPHIN/2009/29732,2012-07-14,Hindi,Fortnightly,SUNIL SANGHVI,SUNIL SANGHVI,Madhya Pradesh,Ratlam
AMRIT TIMES,UTTPUN/2012/46629,2012-11-27,Punjabi,Weekly,AMRITA KAUR SONDHI,AMRITA KAUR SONDHI,Uttarakhand,Dehradun
AMRIT TODAY,MPHIN/2015/67845,2016-07-15,Hindi,Monthly,D.P. GOYAL,D.P.GOYAL,Madhya Pradesh,Bhopal
AMRIT TULYA NEWS,CTHIN/26/A0429,2026-01-16,Hindi,Monthly,DEVANAND PATEL,DEVANAND PATEL,Chhattisgarh,Raigarh
AMRIT VAN,35388,2005-12-12,Hindi,Daily,RAJESH KUMAR SHUKLA,RAM NIRANJAN BHAGWAT SMRUTI SEWA SANSTHAN,Uttar Pradesh,Pratapgarh
AMRIT VANI,DELHIN/2004/17631,2010-10-05,Hindi,Monthly,KIRAN ANAND,KIRAN ANAND,Delhi,New Delhi
AMRIT VARSHA,66816,1997-03-10,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Bihar,Patna
AMRIT VARSHA,38746,1981-05-21,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Jharkhand,Bokaro
AMRIT VARSHA,44420,1987-01-05,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Bihar,Patna
AMRIT VARSHA,UPHIN/2012/47169,2012-12-28,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Uttar Pradesh,Gautam Buddha Nagar
AMRIT VARSHA(EVENING),DELHIN/2003/10806,2003-09-23,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Delhi,New Delhi
AMRIT VARSHA(MORNING),DELHIN/2003/10805,2003-09-23,Hindi,Daily,PARAS NATH TIWARI,PARAS NATH TIWARI,Delhi,New Delhi
AMRIT VICHAR,UPHIN/2019/78502,2020-03-02,HINDI,Daily,Hari Om Gupta,ROHILKHAND ENTERPRISES,Uttar Pradesh,Bareilly
AMRIT VICHAR,UPHIN/2020/79034,2020-11-09,HINDI,Daily,HARI OM GUPTA,ROHILKHAND ENTERPRISES,Uttar Pradesh,Moradabad
AMRIT VICHAR,UPHIN/2022/85730,2023-11-13,HINDI,Daily,TRINATH SHUKLA,ROHILKHAND ENTERPRISES,Uttar Pradesh,Kanpur Nagar
AMRIT VICHAR,50986,1990-02-28,HINDI,Daily,TRINATH SHUKLA,ROHILKHAND ENTERPRISES,Uttar Pradesh,Lucknow
AMRIT VICHAR,UTTHIN/2021/79698,2021-03-24,HINDI,Daily,Hari Om Gupta,ROHILKHAND ENTERPRISES,Uttarakhand,Nainital
AMRIT VICHAR,UPHIN/2022/84450,2023-05-24,HINDI,Daily,TRINATH SHUKLA,ROHILKHAND ENTERPRISES,Uttar Pradesh,Ayodhya
AMRIT VICHAR MANTHAN,UPHIN/2009/29666,2009-11-20,Hindi,Weekly,VIRENDRA KUMAR SAINI,VIRENDRA KUMAR SAINI,Uttar Pradesh,Bara Banki
AMRIT VICHAR MANTHAN,61693,1995-02-09,Hindi,Weekly,VIRENDER KUMAR SAINI,VIRENDRA KUMAR SAINI,Uttar Pradesh,Lucknow
AMRIT VICHAR MANTHAN,UPHIN/2008/26710,2009-01-05,Hindi,Daily,VIRENDRA KUMAR SAINI,VIRENDRA KUMAR SAINI,Uttar Pradesh,Lucknow
AMRITA DHARA,WBBEN/2002/07055,2002-07-02,Bengali,Daily,GUNAMOY CHAKRABORTY,GUNAMOY CHAKRABORTY,West Bengal,Bankura
AMRITA TIMES EXPRESS,MPHIN/26/A2305,2026-04-08,Hindi,Weekly,SEEMA BHILALA,SEEMA BHILALA,Madhya Pradesh,Harda
AMRITANAD,WBBEN/2015/64074,2015-09-07,Bengali,Fortnightly,ANANTA CHAKRABORTY,ANANTA CHAKRABORTY,West Bengal,North 24 Parganas
AMRITANJALI,25028,1973-03-26,Hindi,Fortnightly,GEETA MISHRA,GEETA MISHRA,Uttar Pradesh,Lucknow
AMRITASHYYA PUTRA,WBMUL/2007/23611,2008-04-11,"English, Bengali, Hindi",Monthly,PROVAT KUMAR CHAKRABORTY,YOGIRAJ SHYAMACHARAN SANATAN MISSION,West Bengal,North 24 Parganas
AMRITSAR BANI,PUNPUN/2010/31651,2010-03-30,Punjabi,Daily,AMIT CHOPRA,PUNJAB KESARI PUBLISHING HOUSE PVT. LTD,Punjab,Jalandhar
AMRITSAR BULLETIN,MPBIL/2017/74863,2018-02-22,"Hindi, Punjabi",Monthly,RANDEEP SINGH KOHLI,RANDEEP SINGH KOHLI,Madhya Pradesh,Indore
AMRITSAR CALLING,PUNHIN/2022/86482,2024-02-16,Hindi,Monthly,ANIL KUMAR SHARMA,ANIL KUMAR SHARMA,Punjab,Amritsar
AMRITSAR CITY CIRCLE,51174,1994-11-10,Hindi,Monthly,ANITA SAREEN,ANITA SAREEN,Punjab,Amritsar
AMRITSAR KESARI,PUNHIN/2010/31705,2010-04-01,Hindi,Daily,AMIT CHOPRA,PUNJAB KESARI PUBLISHING HOUSE PVT. LTD,Punjab,Jalandhar
AMRITSAR PRODUCTIVITY COUNCIL NEWSLETTER,10080,1963-01-01,English,Other,INDERJIT S. SUD,AMRITSAR PRODUCTIVITY COUNCIL,Punjab,Amritsar
AMRITSAR TIMES,30695,1977-11-09,English,,RAJ CHAWLA,RANI CHAWLA & SUBHASH CHAWLA,Punjab,Amritsar
AMRITTULYA VARUNI,UPHIN/26/A0843,2026-01-30,Hindi,Monthly,Shubham Tiwari,Shubham Tiwari,Uttar Pradesh,Lucknow
AMRITVARTA PATRIKA,WBGUJ/2014/60317,2015-02-19,Gujarati,Daily,GAURANG DAS AGARWAL,GAURANG DAS AGARWAL,West Bengal,Kolkata
AMROHANAMA,UPBIL/2021/80847,2021-12-27,"Hindi, Urdu",Weekly,AZIM ABBAS,AZIM ABBAS,Uttar Pradesh,Amroha
AMRUDHA,TNTAM/2006/17955,2006-12-20,Tamil,Monthly,DR PRABHU THILAAK,DR PRABHU THILAAK,Tamil Nadu,Chennai
AMRUT DARPANA,KARKAN/2018/77357,2019-05-13,Kannada,Daily,ASHA BILAGI,ASHA BILAGI,Karnataka,Bagalkot
AMRUT NEWS,GJGUJ/25/A2494,2025-09-11,Gujarati,Fortnightly,MALEK NAJIMHUSEN,MALEK NAJIMHUSEN,Gujarat,Kheda
AMRUT SAGAR,GUJGUJ/2012/48748,2013-03-21,Gujarati,Weekly,PRAKASHBHAI AMRATBHAI OD,PRAKASH BHAI AMARATBHAI OD,Gujarat,Banaskantha
AMRUT SAMWAD,64425,2012-06-15,Hindi,Weekly,AMIT KUMAR PANDEY,AMIT KUMAR PANDEY,Uttar Pradesh,Gorakhpur
AMRUT VEL,MHMAR/25/A2962,2025-09-30,Marathi,Weekly,SUNIL EKNATH PATIL,SUNIL EKNATH PATIL,Maharashtra,Sangli
AMRUTA DARSHAN,ODIODI/2009/30352,2010-02-08,Oriya,Monthly,SANGRAM ACHARYA,SANGRAM ACHARYA,Odisha,Bhadrak
AMRUTA DHARA,ODIODI/2015/65853,2016-02-01,Oriya,Quarterly,HARIHAR SETHY,HARIHAR SETHY,Odisha,Cuttack
AMRUTA SAGARA,KARKAN/2017/73121,2017-08-31,Kannada,Monthly,RENUKANANDA SWAMIJI,RENUKANANDA SWAMIJI,Karnataka,Shimoga
AMRUTA SINDHU,APTEL/2021/80265,2021-10-05,Telugu,Monthly,MALLESWARI,MALLESWARI,Andhra Pradesh,Kurnool
AMRUTAYANA,41048,2005-12-12,Oriya,Monthly,GITA HOTA,AMRUTAYANA  REGISTERED SOCIETY,Odisha,Khordha
AMRUTH TALANGANA,TGTEL/25/A1907,2025-07-23,Telugu,Daily,Singidi Amruth,Singidi Amruth,Telangana,Adilabad
AMRUTHA AKSHARAM,APTEL/2014/58685,2014-12-03,Telugu,Monthly,KOTHARAREDDY SAINATHA REDDY,K. SAINATHA REDDY,Andhra Pradesh,Anantapur
AMRUTHA GALIGE,KARKAN/2012/49250,2013-04-17,Kannada,Daily,NAGARAJA.H.L,NAGARAJA.H.L,Karnataka,Kolar
AMRUTHA GHALIGE,KNKAN/25/A5324,2025-12-19,Kannada,Daily,V K Bhanu Prakash,V K Bhanu Prakash,Karnataka,Bengaluru
